instance;algorithm;cp_solver;cp_strategy;uf_conflict_strategy;uf_conflicts_combinator;fzn_optimisation_level;threads;cores;cp_timeout_sec;exhaustive;hypervolume;datetime;cp_solutions;cp_total_nodes;time_cp_sec;time_fzn_sec;cp_solutions_list;uf_time_sec;uf_calls;uf_solutions;uf_conflicts;uf_solutions_list;uf_conflicts_backtrack;hypervolume_before_uf;pareto_front
topology100-14_001_u20;cusolve-mo;gecode;firstfail-random;forbid_target_alloc;or;1;16;8;1800;False;9195.0;2023-05-02 11:33:39.837558;59;192719;1800.548344;440.93663599999996;[12.657581, 24.800325, 36.526956, 48.491991, 60.867523, 72.447456, 83.947239, 95.75000899999999, 175.119812, 187.040351, 199.050166, 273.218301, 284.880489, 296.888886, 309.718842, 321.781588, 366.567668, 378.155435, 389.932278, 401.562578, 413.81071199999997, 426.072098, 438.648659, 549.833265, 567.029585, 578.854673, 590.6291630000001, 602.6955700000001, 614.482739, 626.317296, 638.002071, 649.975638, 661.7948710000001, 673.42569, 684.90229, 696.840922, 708.923033, 720.6409620000001, 1505.105032, 1519.064259, 1534.33993, 1549.153438, 1564.120134, 1578.516595, 1593.1015750000001, 1607.054219, 1621.212657, 1637.87121, 1655.040252, 1670.557903, 1685.558096, 1700.97829, 1715.185617, 1730.0146200000001, 1744.6161820000002, 1759.0529000000001, 1773.396038, 1787.624059, 1800.548344];141.85188300000002;59;18;41;[False, False, True, False, False, False, False, True, False, True, False, False, False, False, False, True, False, True, True, True, True, False, True, True, True, False, False, True, True, True, False, True, False, False, False, True, False, False, False, False, False, False, False, True, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False];0;;{[98, 20, 14],[83, 27, 14],[98, 36, 13],[95, 26, 14],[81, 32, 14],[97, 23, 14],[82, 29, 14]}
topology100-14_001_u20;cusolve-mo;gecode;firstfail-random;not_assignment;or;1;16;8;1800;False;12270.0;2023-05-02 11:33:40.108994;78;147770;1802.1479189999993;587.3779579999999;[38.679067, 50.494584, 62.13038, 73.880905, 85.412453, 97.162397, 109.066042, 213.544027, 234.052578, 245.897997, 257.933127, 270.304618, 282.50666, 294.892118, 307.097791, 319.116115, 331.10234699999995, 343.0525329999999, 364.71375599999993, 376.47733299999993, 388.1694089999999, 400.9998739999999, 412.71434299999993, 424.1684149999999, 436.0731559999999, 449.3481059999999, 462.35329599999994, 474.3403829999999, 675.2509559999999, 686.7394789999998, 698.7315029999999, 710.7199569999999, 722.8649469999999, 734.8214569999999, 746.7201309999999, 758.8137989999999, 770.6220589999999, 782.7858499999999, 799.9180299999998, 811.9796719999998, 824.1627289999998, 836.2415229999998, 848.2047289999998, 861.3759009999998, 873.5601419999998, 886.0217189999998, 899.1242589999998, 911.5757129999998, 1126.5324379999997, 1139.1890689999998, 1152.2825199999997, 1164.6567039999998, 1177.4736939999998, 1190.0499919999997, 1202.9251429999997, 1215.7523099999996, 1228.3881929999995, 1241.0823989999994, 1253.8923609999995, 1324.1407779999995, 1336.3390919999995, 1348.4438329999996, 1483.7911649999996, 1495.7154219999995, 1510.2351579999995, 1525.6465619999994, 1550.8501209999995, 1565.5369329999994, 1580.2501199999995, 1595.0773039999995, 1609.3016289999994, 1621.6232359999995, 1634.1042579999994, 1646.5918839999995, 1666.4198779999995, 1678.4451859999995, 1698.1921219999995, 1710.3205309999994];181.258166;78;10;68;[False, True, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, True, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, False, True, False, False, False, False, False, True, False, False, False, False, False, True];;;{[74, 29, 14],[73, 31, 14],[87, 27, 14],[84, 28, 14]}
topology100-14_001_u20;cusolve-mo;gecode;firstfail-random;not_assignment;and;1;16;8;1800;False;9936.0;2023-05-02 11:33:40.108928;97;104439;1802.0663250000007;728.05098;[12.72776, 24.889112, 36.211631, 48.131232, 59.852548999999996, 71.515856, 83.311494, 95.073025, 107.204531, 123.099683, 135.903958, 148.811768, 161.43422, 174.457414, 189.726516, 201.164243, 213.71043, 225.553415, 237.41846900000002, 249.53753400000002, 261.894856, 273.889168, 286.049104, 297.945024, 310.26106699999997, 322.807915, 335.22164899999996, 347.039792, 358.863099, 383.65317799999997, 396.031774, 407.782916, 446.199705, 458.02168, 470.032353, 482.791265, 495.433851, 507.839901, 595.1615850000001, 617.4477310000001, 630.0662990000001, 642.6431910000001, 654.2832710000001, 667.0296680000001, 678.8729340000001, 691.1767580000001, 702.8558750000001, 714.5310660000001, 726.2359670000001, 738.284711, 750.536905, 761.9639940000001, 774.7787790000001, 788.6870090000001, 801.8584940000001, 813.5017300000001, 833.0131940000001, 845.1378540000001, 857.5129230000001, 870.8359270000001, 883.4908710000001, 895.8610790000001, 908.8155550000001, 921.5249470000001, 934.0728240000001, 946.7491420000001, 959.6706990000001, 972.8754880000001, 985.9766480000002, 998.7671000000001, 1012.6918590000001, 1024.9192110000001, 1037.5206220000002, 1050.3394690000002, 1063.4455450000003, 1101.3919810000002, 1215.6674060000003, 1228.3645760000002, 1242.6020350000001, 1258.460391, 1272.761178, 1284.7786019999999, 1296.7386849999998, 1409.7713279999998, 1422.4537899999998, 1434.7680229999999, 1571.587828, 1584.239014, 1596.264787, 1608.2929350000002, 1620.1593960000002, 1632.2047600000003, 1643.9894820000004, 1656.5366520000005, 1668.2433840000006, 1680.1059110000006, 1693.1961350000006];224.10972199999992;97;20;77;[False, True, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, True, False, False, False, False, False, False, True, False, False, False, False, False, True, True, False, True, False, False, False, False, False, False, False, False, True, False, False, False, False, True, False, True, True, False, False, False, False, False, False, False, False, True, False, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, True, False, False, True, False, False, False, True, False, False, False, False, False, False, False, False, False, True, False, True];0;;{[98, 24, 14],[79, 26, 14]}
topology100-14_001_u20;cusolve-mo;gecode;firstfail-random;forbid_source_alloc;or;1;16;8;1800;False;9474.0;2023-05-02 11:33:39.847194;103;54663;1801.962506999999;782.4906510000005;[12.282839, 24.790987, 36.693092, 48.401491, 60.191732, 72.1204, 84.07575800000001, 95.974619, 108.566989, 123.088469, 136.648651, 149.119057, 160.884431, 173.19986600000001, 185.548158, 197.754195, 210.104339, 222.403217, 234.96761600000002, 247.36569100000003, 259.95303, 273.032012, 285.919321, 298.07944100000003, 310.71574300000003, 322.97188700000004, 335.28245100000004, 347.537098, 359.67593600000004, 372.42692900000003, 384.66222500000003, 397.227278, 410.01574600000004, 422.49169700000004, 435.25516500000003, 448.134429, 460.841986, 473.85542100000004, 486.34819200000004, 499.04401, 511.93642, 524.991621, 540.655276, 553.260679, 565.830723, 578.5207700000001, 590.2817140000001, 601.99282, 613.672223, 625.127707, 636.829147, 648.396643, 662.041995, 677.0299580000001, 691.8484410000001, 706.5737730000001, 721.202303, 735.580001, 750.205381, 765.545293, 780.435845, 794.74218, 809.2435389999999, 823.360608, 838.14013, 852.576207, 867.4777029999999, 883.0723949999999, 897.5341569999999, 912.0036779999999, 926.0604699999999, 940.2458489999999, 955.0675759999999, 1418.9551219999998, 1433.2706899999998, 1447.4964939999998, 1461.5303209999997, 1476.2544789999997, 1490.4245449999996, 1505.7059529999997, 1520.5497879999996, 1535.1705189999996, 1549.6755469999996, 1564.9942089999995, 1579.2181779999994, 1596.8543149999994, 1611.7289499999993, 1626.4630349999993, 1640.9738199999993, 1654.9834439999993, 1666.6687259999992, 1677.8693849999993, 1689.1044169999993, 1700.3503499999993, 1711.5410929999994, 1723.1264789999993, 1734.6690179999994, 1746.0114599999993, 1757.4342199999992, 1768.6149169999992, 1779.7858509999992, 1791.0078239999991, 1801.962506999999];228.20929800000005;103;41;62;[False, False, False, False, False, False, False, False, True, False, False, True, False, False, True, True, False, False, True, False, True, True, True, False, False, True, True, True, True, False, False, True, True, False, False, False, False, True, False, False, False, False, False, True, True, False, False, False, False, False, False, False, True, True, False, False, False, False, True, False, False, False, False, False, False, False, True, False, False, True, True, False, False, False, True, True, True, True, False, False, True, True, True, False, True, True, True, True, False, False, False, True, False, True, False, False, True, False, False, True, True, True, True];0;;{[82, 32, 14],[92, 24, 14],[87, 25, 14],[84, 26, 14],[80, 33, 14],[94, 23, 14]}
topology100-14_001_u20;cusolve-mo;gecode;firstfail-random;decrease_hop_and;and;1;16;8;1800;False;25140.0;2023-05-02 11:33:40.213851;134;30635;1800.5780379999999;1034.28184;[12.676496, 24.941133, 36.791392, 48.602362, 60.304889, 73.266328, 85.286016, 96.950147, 108.806336, 120.355388, 132.340002, 144.94717, 156.692994, 168.608539, 180.280248, 192.306113, 205.536142, 219.632145, 233.11982700000002, 246.33820200000002, 259.43149700000004, 273.03447900000003, 286.33297600000003, 299.66749400000003, 313.25339, 327.2812, 340.86384200000003, 355.161174, 368.917644, 382.366527, 396.313875, 409.997284, 423.469249, 437.089565, 450.389924, 463.97321900000003, 478.00998500000003, 491.869276, 505.343119, 518.978552, 533.0099730000001, 547.034841, 560.756986, 574.287013, 587.870177, 601.990321, 615.705568, 629.030663, 642.655228, 656.362842, 670.180682, 683.9725850000001, 697.5852980000001, 711.2834710000001, 725.1873410000001, 738.8153420000001, 752.6582490000001, 766.029931, 779.907816, 794.135818, 807.794235, 821.3874619999999, 835.0184549999999, 848.8091299999999, 862.2709159999998, 875.6422339999998, 889.7163599999998, 903.6310639999998, 917.9941379999998, 932.2976829999998, 946.7278159999997, 963.0869789999997, 978.5932669999997, 992.6525439999997, 1007.0907489999997, 1021.4889399999997, 1035.8892869999997, 1049.9798349999996, 1064.6868919999997, 1079.6295899999998, 1093.477395, 1107.992339, 1122.449756, 1136.751536, 1150.853663, 1165.1569610000001, 1179.3843610000001, 1193.9277780000002, 1207.9943350000003, 1222.3389690000004, 1236.2884070000005, 1250.7490530000005, 1264.8021990000004, 1279.1434960000004, 1293.2959460000004, 1307.1407240000003, 1321.7104090000003, 1336.5687260000002, 1350.8667650000002, 1364.6498730000003, 1379.7721660000002, 1393.7705750000002, 1408.0806170000003, 1422.5926500000003, 1437.0172100000002, 1451.9037610000003, 1466.5115160000003, 1481.5139770000003, 1496.2504080000003, 1510.7661960000003, 1525.8071630000002, 1539.5052260000002, 1551.6833730000003, 1563.0673640000002, 1574.3332970000001, 1585.5419450000002, 1597.2938550000001, 1608.8712300000002, 1620.500183, 1632.4488860000001, 1643.840556, 1655.421959, 1666.667447, 1678.287213, 1690.305257, 1701.981787, 1713.5348119999999, 1724.8869819999998, 1736.1189259999999, 1747.7152059999999, 1758.940647, 1770.443538, 1782.216088, 1793.7531789999998];344.86648399999996;134;118;16;[False, False, False, False, False, True, True, True, True, True, True, True, True, True, True, True, True, True, False, False, True, True, False, False, True, False, True, True, False, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True];0;;{[86, 27, 13],[81, 33, 13],[85, 30, 13],[58, 23, 14],[53, 27, 14],[51, 31, 14],[96, 26, 13],[71, 22, 14],[55, 24, 14],[52, 28, 14],[85, 20, 14],[76, 21, 14]}
topology100-14_001_u20;cusolve-mo;gecode;firstfail-random;decrease_hop_and;or;1;16;8;1800;False;20502.0;2023-05-02 11:33:40.292238;130;43517;1801.9567999999997;992.7697450000001;[12.607505, 116.540992, 128.282451, 140.651608, 152.705603, 164.550466, 176.8039, 188.419837, 200.08954, 211.666446, 223.697448, 235.55855200000002, 247.36306700000003, 259.17397700000004, 270.87933100000004, 282.659352, 294.508865, 306.176256, 317.670093, 328.976671, 340.25451, 352.964048, 365.725441, 379.337086, 392.925605, 406.60600700000003, 420.60192, 434.864742, 448.52401699999996, 462.58091599999995, 476.88833399999993, 491.2243619999999, 505.9577789999999, 519.7155049999999, 533.8787949999999, 548.1314019999999, 562.2451199999998, 576.3171739999998, 590.7849039999998, 604.6400019999998, 619.1584689999997, 633.8140159999997, 648.4902859999997, 662.6763599999997, 676.4014559999997, 690.8424989999997, 704.7772639999997, 719.0721549999997, 733.0611289999997, 747.6122079999997, 762.6223869999997, 776.7454959999997, 790.4894459999997, 804.3598449999997, 819.2987689999998, 834.1702579999998, 848.4127679999998, 862.0751069999998, 876.6021079999998, 890.9937209999998, 903.6999619999998, 915.4705239999998, 927.3386819999998, 939.0426959999999, 951.1615929999998, 963.5397499999998, 976.3901659999998, 988.6076919999998, 1001.1087049999999, 1013.9078409999998, 1026.1911029999999, 1038.813843, 1051.2899189999998, 1065.7431009999998, 1079.9517379999998, 1094.3641789999997, 1108.7897369999996, 1123.7120409999995, 1138.0961429999995, 1152.0142839999996, 1165.6451349999995, 1180.5652569999995, 1194.8308789999994, 1208.8068769999993, 1222.4397869999993, 1237.2949029999993, 1251.1889559999993, 1265.2735859999993, 1279.5179539999992, 1293.8082409999993, 1307.7294839999993, 1321.3487679999994, 1335.7241569999994, 1349.9261679999995, 1363.8602249999994, 1378.4470089999995, 1393.1767919999995, 1407.2333439999995, 1421.9539019999995, 1436.4274619999994, 1450.2719199999995, 1464.5716379999994, 1478.9721439999994, 1492.9737179999993, 1507.8919899999992, 1521.5170449999991, 1535.8078639999992, 1549.9522319999992, 1562.1264669999991, 1573.5606829999992, 1585.2138749999992, 1596.5282219999992, 1608.0477849999993, 1619.3779539999994, 1630.8465679999993, 1642.0310559999994, 1653.3422269999994, 1664.7023449999995, 1676.6141429999996, 1687.8341549999996, 1699.0901939999997, 1710.5381229999996, 1721.9257919999995, 1733.4170369999995, 1744.9299619999995, 1756.6827789999995, 1768.0504589999996, 1779.7326959999996, 1791.2190019999996, 1801.9567999999997];356.3742250000001;130;90;40;[True, False, False, False, False, False, False, True, True, False, False, False, False, False, False, False, False, True, False, False, True, True, True, False, True, True, False, True, False, True, False, True, True, False, True, False, False, False, True, False, False, False, True, True, True, False, True, True, True, True, True, True, True, False, False, False, True, True, False, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, False, True, True, True, True, False, True, True, True, True, True, True, True, True, True, False, True, True, False, True, False, True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True];0;;{[87, 29, 13],[88, 22, 14],[60, 27, 14],[64, 25, 14],[65, 24, 14],[59, 37, 14],[75, 23, 14],[62, 26, 14]}
topology100-14_001_u40;cusolve-mo;gecode;firstfail-random;forbid_source_target_alloc_and;or;1;16;8;1800;False;3012.0;2023-05-02 12:09:41.862647;12;2441;1802.4156950000001;94.36879;[12.214234, 24.491452, 36.473814, 48.719910999999996, 60.385835, 72.049688, 85.329699, 98.09922300000001, 110.15996500000001, 121.85004400000001, 133.20115600000003, 144.95126500000003];38.708848999999994;12;3;9;[False, False, True, False, False, False, False, False, False, True, True, False];0;;{[93, 54, 14],[90, 59, 14]}
topology100-14_001_u40;cusolve-mo;gecode;firstfail-random;forbid_source_target_alloc_and;and;1;16;8;1800;False;960.0;2023-05-02 12:09:40.944022;17;9256;1802.077271;129.34495;[12.223839, 24.215702999999998, 36.108323, 50.306291, 62.294993000000005, 111.98154500000001, 123.69423700000002, 135.573846, 146.907926, 158.302086, 170.965432, 182.978217, 195.52444, 207.505105, 219.943198, 231.739891, 245.18928];47.553250999999996;17;5;12;[True, False, False, False, False, True, False, False, True, True, True, False, False, False, False, False, False];0;;{[98, 57, 14],[99, 55, 14],[97, 77, 14]}
topology100-14_001_u40;cusolve-mo;gecode;firstfail-random;decrease_max_link_charge;or;1;16;8;1800;False;5280.0;2023-05-02 12:09:41.615427;33;38501;1802.2736089999999;249.34432000000007;[11.987136, 24.265501999999998, 36.722640999999996, 48.800048999999994, 63.06894299999999, 106.40115399999999, 118.01695699999999, 129.583714, 230.49053399999997, 243.04947999999996, 274.33453799999995, 286.69314299999996, 299.266469, 311.66169199999996, 324.896486, 339.64108999999996, 352.34508999999997, 365.08472099999994, 377.5408479999999, 390.05734299999995, 474.4826529999999, 487.7141219999999, 500.2529119999999, 513.422482, 525.9075939999999, 539.0548979999999, 551.0231599999998, 563.6408599999999, 575.3337429999999, 587.0534059999999, 598.7973139999999, 611.658605, 623.708857];81.10652600000002;33;8;25;[False, False, False, True, False, False, False, False, False, False, False, False, False, True, True, False, False, False, False, False, False, True, False, True, False, True, True, False, False, False, True, False, False];0;;{[92, 54, 14],[89, 58, 14],[81, 60, 14]}
topology100-14_001_u40;cusolve-mo;gecode;firstfail-random;forbid_target_alloc;and;1;16;8;1800;False;1104.0;2023-05-02 12:09:41.650264;32;210465;1802.2200069999997;240.29041000000007;[12.681106, 24.262705, 88.231864, 100.145121, 111.554856, 123.2084, 134.987712, 146.53833799999998, 158.183584, 170.429498, 182.290017, 635.068771, 646.4982309999999, 658.6270719999999, 671.4373739999999, 683.8894049999999, 696.3707959999999, 708.7590869999999, 721.1222089999999, 733.7350589999999, 746.4493879999999, 759.0657859999999, 771.4949269999998, 783.9216399999998, 796.3211539999998, 808.9273839999997, 821.2782959999997, 833.7748809999997, 846.5706139999998, 857.7984309999997, 869.1898949999998, 880.8237389999997];82.66022300000002;32;10;22;[True, True, False, False, False, False, True, False, True, False, False, True, True, False, False, False, True, False, False, False, True, False, False, False, False, True, True, False, False, False, False, False];0;;{[99, 52, 14],[97, 61, 14],[98, 55, 14]}
