instance;algorithm;cp_solver;cp_strategy;uf_conflict_strategy;uf_conflicts_combinator;fzn_optimisation_level;threads;cores;cp_timeout_sec;exhaustive;hypervolume;datetime;cp_solutions;cp_total_nodes;time_cp_sec;time_fzn_sec;cp_solutions_list;uf_time_sec;uf_calls;uf_solutions;uf_conflicts;uf_solutions_list;uf_conflicts_backtrack;hypervolume_before_uf
topology100-14_005_u20;cusolve-mo;gecode;firstfail-random;decrease_one_link_charge;and;1;16;8;180;False;18740.0;2023-04-26 11:24:59.665906;15;3134;39.5123;115.14330999999999;[10.40761, 19.84014, 29.67357, 39.55521, 49.510960000000004, 59.29708, 68.91631, 78.65961, 88.40988999999999, 98.15821, 108.00421, 117.65499, 127.35074, 137.1179, 147.50518];42.683451999999996;15;14;1;[False, True, True, True, True, True, True, True, True, True, True, True, True, True, True];0;
topology100-14_005_u20;cusolve-mo;gecode;firstfail-random;forbid_target_alloc;and;1;16;8;180;False;15740.0;2023-04-26 11:24:59.608270;15;2979;43.57645999999998;106.97466000000001;[10.00683, 20.17931, 30.168770000000002, 40.19364, 50.14411, 60.282219999999995, 70.23433, 80.24888999999999, 89.9545, 100.18952999999999, 110.24172, 120.44449, 130.52692000000002, 140.46575, 150.55112];44.799467;15;14;1;[True, True, True, True, True, True, True, True, True, True, True, True, True, True, False];0;
topology100-14_005_u20;cusolve-mo;gecode;firstfail-random;forbid_source_target_alloc_or;or;1;16;8;180;False;16530.0;2023-04-26 11:24:59.702969;15;3305;43.71043;107.24237;[10.24707, 20.66744, 30.639670000000002, 40.783480000000004, 50.792730000000006, 60.72652000000001, 70.79489000000001, 80.75484, 90.67193, 100.71385000000001, 110.84199000000001, 120.96967000000001, 131.04968000000002, 140.97088, 150.9528];44.79117300000001;15;11;4;[True, False, False, True, True, True, True, True, True, True, False, True, True, False, True];0;
topology100-14_005_u20;cusolve-mo;gecode;firstfail-random;forbid_source_target_alloc_and;or;1;16;8;180;False;17285.0;2023-04-26 11:24:59.362002;15;3509;39.94218000000001;107.6892;[10.5546, 20.273030000000002, 30.126150000000003, 39.856390000000005, 49.60775000000001, 59.632110000000004, 69.42018000000002, 79.07045000000001, 88.85339, 98.71228, 108.44116, 118.19803, 127.8821, 137.72192, 147.63138];45.100325;15;11;4;[True, True, True, True, False, True, False, True, True, True, True, True, False, True, False];0;
topology100-14_005_u20;cusolve-mo;gecode;firstfail-random;decrease_one_link_charge;or;1;16;8;180;False;17350.0;2023-04-26 11:24:59.684561;15;3120;39.69683000000001;107.90511000000001;[10.2005, 19.96998, 29.92251, 39.62805, 49.34443, 59.18784, 68.98894, 78.68122, 88.53679, 98.32667000000001, 108.08484000000001, 117.85981000000001, 127.78817000000002, 137.57602000000003, 147.60194];46.94659599999999;15;13;2;[True, True, True, True, True, False, True, True, True, True, True, True, False, True, True];0;
topology100-14_005_u20;cusolve-mo;gecode;firstfail-random;decrease_hop_or;or;1;16;8;180;False;19325.0;2023-04-26 11:24:59.429987;15;3137;40.496539999999996;108.08676;[10.23192, 20.1704, 29.98237, 39.7583, 49.951750000000004, 59.675470000000004, 69.445, 79.34962, 89.09210999999999, 98.88809, 108.87445, 118.63275999999999, 128.42251, 138.56797999999998, 148.5833];49.645292;15;15;0;[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True];0;
topology100-14_005_u40;cusolve-mo;gecode;firstfail-random;forbid_source_alloc;or;1;16;8;180;False;10780.0;2023-04-26 11:28:52.103735;15;3071;40.75769;107.08329000000002;[9.693380000000001, 19.75141, 29.722590000000004, 39.76432, 49.89244, 59.820460000000004, 69.79416, 79.51678000000001, 89.18531000000002, 99.19290000000001, 108.87558000000001, 118.63897, 128.32185, 138.01396000000003, 147.84098];43.298170999999996;15;13;2;[True, True, True, True, True, False, True, True, True, True, True, True, False, True, True];0;
topology100-14_005_u20;cusolve-mo;gecode;firstfail-random;decrease_hop_and;or;1;16;8;180;False;17955.0;2023-04-26 11:28:52.277833;15;2989;40.3399;107.13278999999999;[9.81528, 19.63914, 29.59366, 39.71165, 49.5543, 59.490539999999996, 69.64889, 79.44229, 89.07467, 98.69057999999998, 108.43869, 118.01487, 127.85634999999999, 137.55724999999998, 147.47269];43.127551;15;14;1;[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True];0;
topology100-14_005_u40;cusolve-mo;gecode;firstfail-random;decrease_one_link_charge;and;1;16;8;180;False;10910.0;2023-04-26 11:28:52.713660;15;3514;43.99575999999999;107.40662000000002;[10.29288, 20.2422, 30.29051, 40.099740000000004, 50.0749, 60.14425, 70.25626, 80.32106999999999, 90.57354000000001, 100.62619000000001, 110.55939000000001, 120.803, 131.20779, 141.43349, 151.40238];43.193791;15;14;1;[True, True, True, True, True, True, True, False, True, True, True, True, True, True, True];0;
topology100-14_005_u40;cusolve-mo;gecode;firstfail-random;forbid_source_target_alloc_and;or;1;16;8;180;False;11750.0;2023-04-26 11:28:52.106285;15;3219;39.97297999999999;107.34939999999999;[9.88437, 19.66152, 29.282569999999996, 39.16808999999999, 48.76736, 58.370839999999994, 68.30579999999999, 78.02349, 87.68323, 97.3883, 107.3434, 117.26277999999999, 126.99789999999999, 136.79100999999997, 147.32237999999998];43.637719;15;15;0;[True, True, True, True, True, True, True, True, True, True, True, True, True, True, True];0;
